Country,Cities / Regions,Year,Duration of Fieldwork,Methodology,Region,Informal businesses enumerated,Long-form interviews completed,Making Goods,Retail,Other Services,Firms operating out of household,Firms without female participation in ownership,Country Specific Topics,Other Surveys Available
Cabo Verde,"Mindelo, Praia",2006,2/2006 - 3/2006,RW,AFR,N/A,103,31,64,9,N/A,N/A,,"ES, Tourism"
Cameroon,"Bafoussam, Douala, Yaounde",2006,1/2006 - 3/2006,RW,AFR,N/A,99,33,26,40,17,70,,"ES, Tourism"
Afghanistan,"Bamyan, Kabul, Ghazni, Khost, Hirat, Kandahar, Mazar, Jalalabad",2008,10/2008 - 11/2008,Other,SAR,N/A,419,105,106,208,N/A,412,,ES
"Egypt, Arab Rep.","Cairo, Alexandria, Damita, Giza, Fayoum, Assuit, Souhag",2008,8/2008 - 9/2008,RW,MNA,N/A,500,134,298,68,71,421,,"Hotels, ES"
Burkina Faso,"Bobo-Dioulasso, Ouagadougou",2009,6/2008 - 7/2008,RW,AFR,N/A,120,70,N/A,N/A,34,95,,"Micro, ES"
Cabo Verde,"Mindelo, Praia, Esperagos, Perdeira, Fonte Meio",2009,6/2008 - 7/2008,RW,AFR,N/A,129,66,N/A,N/A,72,53,,"Micro, ES"
Cameroon,"Bafoussam, Douala, Yaounde",2009,3/2009,RW,AFR,N/A,122,122,0,0,15,83,,"Micro, ES"
C™te d'Ivoire,"Abidjan, San Pedro",2009,10/2008 - 1/2009,RW,AFR,N/A,129,69,30,30,25,94,,"Micro, ES"
Madagascar,"Antananarivo, Antsirabe, Antsiranana, Mahajanga, Toamasina",2009,10/2008 - 1/2009,RW,AFR,N/A,127,62,35,30,35,69,,"Micro, ES"
Mauritius,"Port Louis, North, East, West",2009,10/2008 - 11/2008,RW,AFR,N/A,132,72,29,31,67,93,,"Micro, ES"
Nepal,"Central, West, East",2009,3/2009 - 6/2009,BE,SAR,N/A,120,N/A,N/A,N/A,80,89,,"Employees, ES, Micro"
Angola,"Luanda, Huambo, Benguela",2010,6/2010 - 9/2010,RW,AFR,N/A,119,32,47,40,42,98,,ES
Argentina,"Buenos Aires, Resistencia",2010,6/2010 - 8/2010,RW,LAC,N/A,384,187,110,87,198,192,,ES
Botswana,Gaborone,2010,10/2010 - 11/2010,RW,AFR,N/A,99,44,29,26,40,69,,ES
"Congo, Dem. Rep.","Kinshasa, Kisangani, Lubumbashi, Matadi",2010,6/2010,RW,AFR,N/A,150,80,54,16,26,116,,ES
Guatemala,"Guatemala, Quetzaltenango",2010,6/2010 - 11/2010,RW,LAC,N/A,303,126,124,53,77,153,,ES
Mali,"Bamako, Mopti, Segou, Sikasso",2010,5/2010 - 11/2010,RW,AFR,N/A,122,60,27,35,17,111,,ES
