Data Details,,,,,,,,,Levels of Location Strata,Levels of Business Sector Strata,ISIC Rev. 3.1 (http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,Construction,,,,,"Wholesale and retail trade; repair of motor vehicles, motocyles and personal and household goods",,,,,,Hotels and restaurants,,,"Transport, storage and communications",,"Professional, scientific and technical activities",,,,,,,Others,,Additional
Country,Year,Fiscal Year,n3_l2_year,Number of sub-national regions,Duration of Fieldwork,Methodology,Region,Total,Number of firms in each subnational location level,Number of firms in each business sector level,ISIC 4.0: 10/ ISIC 3.1: 15,ISIC 4.0: 11,ISIC 4.0: 12/ ISIC 3.1: 16,ISIC 4.0: 13/ ISIC 3.1: 17,ISIC 4.0: 14/ ISIC 3.1: 18,ISIC 4.0: 15/ ISIC 3.1: 19,ISIC 4.0: 16/ ISIC 3.1: 20,ISIC 4.0: 17/ ISIC 3.1: 21,ISIC 4.0: 18/ ISIC 3.1: 22,ISIC 4.0: 19/ ISIC 3.1: 23,ISIC 4.0: 20/ ISIC 3.1: 24,ISIC 4.0: 21,ISIC 4.0: 22/ ISIC 3.1: 25,ISIC 4.0: 23/ ISIC 3.1: 26,ISIC 4.0: 24/ ISIC 3.1: 27,ISIC 4.0: 25/ ISIC 3.1: 28,ISIC 4.0: 26/ ISIC 3.1: 32,ISIC 4.0: 27/ ISIC 3.1: 31,ISIC 4.0: 28/ ISIC 3.1: 29,ISIC 4.0: 29/ ISIC 3.1: 34,ISIC 4.0: 30/ ISIC 3.1: 35,ISIC 4.0: 31/ ISIC 3.1: 36,"ISIC 4.0: 32/ ISIC 3.1: 33, 37",ISIC 4.0: 33/ ISIC 3.1: 30,ISIC 4.0: 41,ISIC 4.0: 42/ ISIC 3.1: 45,ISIC 4.0: 43,ISIC 4.0: 45/ ISIC 3.1: 50,ISIC 4.0: 46/ ISIC 3.1: 51,ISIC 4.0: 47/ ISIC 3.1: 52,ISIC 4.0: 49/ ISIC 3.1: 60,ISIC 4.0: 50/ ISIC 3.1: 61,ISIC 4.0: 51/ ISIC 3.1: 62,ISIC 4.0: 52/ ISIC 3.1: 63,ISIC 4.0: 53/ ISIC 3.1: 64,ISIC 4.0: 55/ ISIC 3.1: 55,ISIC 4.0: 56,ISIC 4.0: 58/ ISIC 3.1: 72,ISIC 4.0: 61,ISIC 4.0: 62,ISIC 4.0: 69,ISIC 4.0: 70,ISIC 4.0: 71,ISIC 4.0: 72,ISIC 4.0: 73,ISIC 4.0: 74,ISIC 4.0: 75,ISIC 4.0: 79,ISIC 4.0: 95,
Afghanistan,2008,2007/2008,2005/2006,6,10/2008 - 12/2008,Global,SAR,535,"5 Smaller Cities (Bamyan,Ghazni,Khost,Kunduz,Pul-E-Khumri) (99), Hirat (67), Jalalabad (61), Kabul (181), Kandahar (59), Mazar (68)","Construction (172), Manufacturing (124), Other Services (134), Retail (105)",38,0,0,8,1,2,1,0,4,0,11,0,16,14,2,8,0,4,7,0,0,7,0,0,0,163,0,23,37,105,48,0,2,11,2,13,0,6,0,0,0,0,0,0,0,0,0,0,0,2
Afghanistan,2014,2012/2013,2010/2011,5,5/2013 - 7/2014,Global,SAR,410,"Herat (69), Jalalabad (71), Kabul (128), Kandahar (68), Mazar-E-Sharif (74)","Construction (72), Manufacturing (139), Other Services (135), Retail (64)",39,0,0,13,1,1,2,2,1,3,7,0,14,14,9,4,3,4,10,5,1,5,1,0,0,72,0,8,87,64,21,1,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2002,2001,1998/1999,1,,Not Global,,134,Albania (134),"Manufacturing (61), Services (73)",17,0,0,0,9,1,5,0,3,1,6,0,1,7,6,0,0,0,0,0,0,5,0,0,0,19,0,8,20,7,5,0,0,1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2005,2004,2002,8,,Not Global,,162,"Durres (16), Elbasan (16), Fier (10), Gjirokaster (18), Korca (21), Shkodra (8), Tirana (65), Vlora (8)","Manufacturing (71), Services (91)",24,0,0,0,9,4,3,0,3,1,5,0,1,4,4,7,0,0,0,0,0,6,0,0,0,22,0,8,22,13,9,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2007,2006,2004,8,9/2007 - 3/2008,Global,ECA,304,"Durres (23), Elbasan (19), Fier (5), Gjirokastra (5), Korca (8), Shkodra (1), Tirana (225), Vlora (18)","Manufacturing (111), Other Services (118), Retail (75)",28,0,0,0,17,5,6,2,7,1,2,0,6,8,5,13,0,0,0,0,0,11,0,0,0,30,0,17,35,75,4,0,0,7,3,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2013,2011,2009,4,3/2013 - 7/2013,Global,ECA,360,"Durres And Shkoder (41), Elbasan And Korce (43), Fier And Vlore (29), Tirana (247)","Manufacturing (111), Other Services (132), Retail (117)",28,0,0,6,12,3,10,2,8,0,2,0,1,6,4,8,1,3,3,0,0,13,1,0,0,6,0,20,30,117,3,2,0,6,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2019,2018,2016,3,1/2019 - 5/2019,Global,ECA,377,"Central Albania (133), North Albania (119), Southern Albania (125)","Manufacturing (146), Other Services (154), Retail (77)",29,0,0,0,47,24,1,3,6,0,4,0,2,8,0,8,0,1,1,0,0,12,0,0,0,29,0,29,28,77,8,0,0,9,2,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2007,2006,,11,6/2007 - 11/2007,Not Global,MNA,600,"Alger (234), Annaba (46), Blida (42), Bordj BA (29), Boumerdes (8), Ghardaãa (35), Oran (74), Other cities (5), Ouargla (4), SÇtif (79), Tlemcen (44)","Manufacturing (423), Services (177)",120,0,1,63,28,4,1,3,1,0,10,0,21,14,12,47,7,12,23,10,0,4,1,1,0,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177
Angola,2006,2005,2002,3,5/2006 - 8/2006,Global,AFR,425,"Benguela (54), Huambo (23), Luanda (348)","Food (78), Garments (16), Other Manufacturing (121), Other Services (105), Retail (105)",78,0,1,2,16,4,45,0,2,0,3,0,1,11,1,11,0,0,1,0,0,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
